"species","study.doi","year.of.publication","group","continent","driver","driver.type","stage.age","vital.rates","sens","cov","mat","n.vr","n.pam","dens","biotic_interactions","lambda.sim","study.length","l_ratio"
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.511861711557306,0,2,6,59,0,0,0,16,1.79811624159528
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.525760827968239,0,2,6,59,0,0,0,16,1.83579627657291
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.51891664605813,0,2,6,59,0,0,0,16,1.79886560073062
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.510986326404281,0,2,6,59,0,0,0,16,1.76577889980851
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.528800984500812,0,2,6,59,0,0,0,16,1.83440027843324
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.516572021196093,0,2,6,59,0,0,0,16,1.80696768609105
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.517438409471522,0,2,6,59,0,0,0,16,1.7942016273347
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.515548453633679,0,2,6,59,0,0,0,16,1.7945498118533
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.525077079672316,0,2,6,59,0,0,0,16,1.82328021271199
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.526864671114578,0,2,6,59,0,0,0,16,1.84236902176645
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.5290204465695,0,2,6,59,0,0,0,16,1.84155338408996
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.516622325857522,0,2,6,59,0,0,0,16,1.79331567867601
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.518886311580431,0,2,6,59,0,0,0,16,1.80066059068447
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.522289424872821,0,2,6,59,0,0,0,16,1.7979618868907
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.507393796211798,0,2,6,59,0,0,0,16,1.78222355486237
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.521990963886582,0,2,6,59,0,0,0,16,1.83869471242903
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.524323077666158,0,2,6,59,0,0,0,16,1.80564696321489
"Dracocephalum austriacum","Evers et al. in Prep","2024","Plants","Europe","temperature","C","all","all",0.519318423457341,0,2,6,59,0,0,0,16,1.7791819681461
