"Name","locality","Longitude","Latitude","Altitude","month","year","pet","pr","tas","tasmax","tasmin","X","pet_c","pet_scaled","pr_scaled","tas_scaled"
"Císarská rokle","Cr",14.13109,49.92955,270,1,2002,1709,13.67,-0.25,2.55000000000001,-3.64999999999998,6,9.46863675044331,1.03745245059342,-1.24915471157607,0.162366346180471
"Kodská stena","Ks",14.12305,49.93391,350,1,2002,2011,13.56,-0.25,2.55000000000001,-3.64999999999998,7,9.4674743653944,1.07846417039465,-1.24731959135462,0.18419388225795
"Radotánské údolí","Ru",14.312,49.99823,290,1,2002,1895,14.56,-0.0499999999999545,2.85000000000002,-3.64999999999998,8,9.85529145593348,1.19436465838067,-1.15202495063094,0.190940461143537
"Haknovec","Hk",14.19022,49.93912,287,1,2003,1359,28.5,-0.75,1.65000000000003,-3.34999999999997,5,7.62248928461631,-0.353961702077364,0.137389104204845,-0.0324916750747634
"Císarská rokle","Cr",14.13109,49.92955,270,1,2003,1505,29.24,-0.849999999999966,1.55000000000001,-3.44999999999999,6,7.56888857494813,-0.326282278206948,0.129539410432982,-0.0334523627809003
"Kodská stena","Ks",14.12305,49.93391,350,1,2003,1798,28.99,-0.849999999999966,1.55000000000001,-3.54999999999995,7,7.67010135000996,-0.228142872685099,0.127740167260153,-0.0149346391019919
"Radotánské údolí","Ru",14.312,49.99823,290,1,2003,1601,28.3,-0.75,1.75,-3.34999999999997,8,7.74289964499564,-0.297983592778794,0.0287791389752057,-0.0415087959007743
"Haknovec","Hk",14.19022,49.93912,287,1,2004,1464,50,-2.44999999999999,0.0500000000000114,-6.14999999999998,5,7.56851918701029,-0.392299271962039,2.08949251098387,-0.58485015134562
"Císarská rokle","Cr",14.13109,49.92955,270,1,2004,1394,50.44,-2.44999999999999,-0.0499999999999545,-6.14999999999998,6,7.43775493480505,-0.420416596367576,2.00675940957184,-0.555635586677928
"Kodská stena","Ks",14.12305,49.93391,350,1,2004,1620,50.14,-2.54999999999995,-0.149999999999977,-6.25,7,7.38585875189365,-0.434774093618737,2.01254340087665,-0.579132116288523
"Radotánské údolí","Ru",14.312,49.99823,290,1,2004,1512,53.86,-2.64999999999998,-0.149999999999977,-6.34999999999997,8,7.38229218421156,-0.552743107879007,2.2253841266268,-0.672442493592428
"Haknovec","Hk",14.19022,49.93912,287,1,2005,1826,36.55,1.35000000000002,3.45000000000005,-1.34999999999997,5,8.09955464933609,-0.0150791065145619,0.868292937905827,0.64983350149513
"Císarská rokle","Cr",14.13109,49.92955,270,1,2005,1969,38.15,1.25,3.25,-1.44999999999999,6,7.86881387857511,-0.110980819898933,0.918503098750302,0.651913118583928
"Kodská stena","Ks",14.12305,49.93391,350,1,2005,2332,37.93,1.15000000000003,3.15000000000003,-1.54999999999995,7,7.82636215546178,-0.114548495105665,0.924437136930671,0.64882709876452
"Radotánské údolí","Ru",14.312,49.99823,290,1,2005,2093,35.61,1.25,3.35000000000002,-1.44999999999999,8,8.03885337365469,-0.0889002081995052,0.656994415177599,0.622631938511501
"Haknovec","Hk",14.19022,49.93912,287,1,2006,1209,13.07,-5.25,-1.44999999999999,-9.14999999999998,5,7.97358932633943,-0.104558366097972,-1.26358557331145,-1.4946170534388
"Císarská rokle","Cr",14.13109,49.92955,270,1,2006,1087,12.88,-5.34999999999997,-1.54999999999995,-9.14999999999998,6,7.8662894310493,-0.112792995221106,-1.31910772097794,-1.50209267999127
"Kodská stena","Ks",14.12305,49.93391,350,1,2006,1260,12.56,-5.25,-1.44999999999999,-9.04999999999995,7,7.93467327038496,-0.0358113245845117,-1.33643558348779,-1.47521046240833
"Radotánské údolí","Ru",14.312,49.99823,290,1,2006,1169,14.4,-4.84999999999997,-1.04999999999995,-8.64999999999998,8,8.15042228960006,-0.0100797565518983,-1.16577521659433,-1.40299730144593
"Haknovec","Hk",14.19022,49.93912,287,1,2007,2389,43.29,4.65000000000003,6.45000000000005,1.75,5,9.1640958953442,0.741116013084573,1.48025465705423,1.7220587789621
"Císarská rokle","Cr",14.13109,49.92955,270,1,2007,2654,43.98,4.45000000000005,6.25,1.65000000000003,6,8.92410975409425,0.646563602655983,1.43473859851349,1.69627956637798
"Kodská stena","Ks",14.12305,49.93391,350,1,2007,3129,43.82,4.35000000000002,6.15000000000003,1.45000000000005,7,9.02622218264768,0.757694244054201,1.44933033059503,1.71084587935093
"Radotánské údolí","Ru",14.312,49.99823,290,1,2007,2848,45.71,4.45000000000005,6.35000000000002,1.55000000000001,8,9.17861139376484,0.716308313841296,1.52497995411661,1.68525711357116
"Haknovec","Hk",14.19022,49.93912,287,1,2008,1693,26.52,2.55000000000001,4.95000000000005,0.0500000000000114,5,9.08959730379073,0.688196061357953,-0.0423860002334097,1.0397336023922
"Císarská rokle","Cr",14.13109,49.92955,270,1,2008,1797,27.26,2.45000000000005,4.85000000000002,-0.0499999999999545,6,9.0351180883568,0.726250964682619,-0.0457858536375329,1.04355053650671
"Kodská stena","Ks",14.12305,49.93391,350,1,2008,2146,27.24,2.35000000000002,4.75,-0.149999999999977,7,8.98627807682841,0.728656726774121,-0.0282128189728906,1.04708414148442
"Radotánské údolí","Ru",14.312,49.99823,290,1,2008,1898,27.57,2.55000000000001,5.05000000000001,-0.0499999999999545,8,9.33353827601754,0.825760007693847,-0.0339564494827626,1.05432341587948
"Haknovec","Hk",14.19022,49.93912,287,1,2009,1024,15.21,-3.64999999999998,-0.549999999999955,-6.44999999999999,5,7.45152009989035,-0.475409380667947,-1.06928318770647,-0.974750252242694
"Císarská rokle","Cr",14.13109,49.92955,270,1,2009,910,16.07,-3.75,-0.549999999999955,-6.44999999999999,6,7.44582335892675,-0.414624675983924,-1.03663923997545,-0.979909456094261
"Kodská stena","Ks",14.12305,49.93391,350,1,2009,1080,16.13,-3.75,-0.649999999999977,-6.44999999999999,7,7.31628886837631,-0.48534818091833,-1.01829149157238,-0.977389159008445
"Radotánské údolí","Ru",14.312,49.99823,290,1,2009,1016,16.33,-3.64999999999998,-0.549999999999955,-6.54999999999995,8,7.47906747041452,-0.484373959517117,-0.999912633410931,-1.00451286079857
"Haknovec","Hk",14.19022,49.93912,287,1,2010,1320,48.24,-4.25,-2.54999999999995,-7.75,5,5.55379782138241,-1.82345327351241,1.92969241814986,-1.16970030269124
"Císarská rokle","Cr",14.13109,49.92955,270,1,2010,1184,48.28,-4.34999999999997,-2.75,-7.84999999999997,6,5.3958174332909,-1.8862219703503,1.81549548513127,-1.17572816505563
"Kodská stena","Ks",14.12305,49.93391,350,1,2010,1349,47.37,-4.34999999999997,-2.75,-7.94999999999999,7,5.47161698176612,-1.82633931552739,1.76569210266777,-1.17651768036839
"Radotánské údolí","Ru",14.312,49.99823,290,1,2010,1271,56.27,-4.14999999999998,-2.54999999999995,-7.84999999999997,8,5.50949250432276,-1.87582593398276,2.43249750770037,-1.17054804440163
"Haknovec","Hk",14.19022,49.93912,287,1,2011,1445,33.13,-0.25,2.15000000000003,-3.25,5,8.19571406297944,0.0532275744837431,0.557772302967025,0.129966700299019
"Císarská rokle","Cr",14.13109,49.92955,270,1,2011,1346,34.37,-0.349999999999966,1.95000000000005,-3.25,6,7.88263832368293,-0.101056938332355,0.583791230979318,0.129729894686919
"Kodská stena","Ks",14.12305,49.93391,350,1,2011,1553,34.15,-0.449999999999989,1.95000000000005,-3.34999999999997,7,7.9842648659367,0.000239471477767442,0.587578686667297,0.117817708471303
"Radotánské údolí","Ru",14.312,49.99823,290,1,2011,1483,33.16,-0.149999999999977,2.25,-3.14999999999998,8,8.21228821520279,0.0336268633097873,0.446443467613185,0.157733424422916
