"","sens.no.cov","sens.with.cov","driver"
"127",0.207546418088099,0.147785183507208,"dens"
"128",0.204767852124776,0.133751462886325,"dens"
"129",0.213399769893297,0.13397940254027,"dens"
"130",0.182467620796097,0.132977066530976,"dens"
"131",0.179109023457205,0.12556354248925,"dens"
"132",0.181698519068988,0.130506118566367,"dens"
"133",0.188452578260056,0.12832590427467,"dens"
"134",0.168971346754897,0.109014313593783,"dens"
"135",0.226572802502476,0.170172701256609,"dens"
"136",0.197378472706316,0.158122127695075,"dens"
"137",0.119341433221342,0.0955613085556394,"dens"
"138",0.215261976565313,0.156912838202054,"dens"
"139",0.253495964626904,0.177150490645171,"dens"
"140",0.178485145235948,0.119243267676382,"dens"
"141",0.253698065487066,0.169221058392426,"dens"
"142",0.150542244444798,0.0989222301999962,"dens"
"143",0.206857757151834,0.134169681133301,"dens"
"144",0.187817358758931,0.123029560388681,"dens"
"145",0.212072927041911,0.130133629925419,"dens"
"146",0.217285009513322,0.16058694252227,"dens"
"147",0.172886592365436,0.123963175967648,"dens"
"148",0.205913865983723,0.124175679979496,"dens"
"149",0.153000870461434,0.108681727859593,"dens"
"150",0.213593935620464,0.137586409389889,"dens"
"151",0.176440780138552,0.121597120388945,"dens"
"152",0.203195338865614,0.142813066174853,"dens"
"153",0.215714103590556,0.150200674425251,"dens"
"154",0.182003579352645,0.142659311301422,"dens"
"155",0.254207879104708,0.191336436676197,"dens"
"156",0.21282606666979,0.143488469662008,"dens"
"157",0.176464010701235,0.12220480595719,"dens"
"158",0.212690450518793,0.138334286500847,"dens"
"159",0.23935725337366,0.174797891230413,"dens"
"160",0.169565483107218,0.116776754115071,"dens"
"161",0.246894444735526,0.165675444873787,"dens"
"162",0.148931188633344,0.109877556438989,"dens"
"163",0.166427687861867,0.111300480068288,"dens"
"164",0.212526644238537,0.152137066372053,"dens"
"165",0.233746247370937,0.157442329040885,"dens"
"166",0.171305198097988,0.122625112601258,"dens"
"167",0.17506687193028,0.11642342489793,"dens"
"168",0.217468035343666,0.143879316206271,"dens"
"169",0.206686393328247,0.125026062271614,"dens"
"170",0.149448357764693,0.119324929643704,"dens"
"171",0.20429101722488,0.130134420089272,"dens"
"172",0.234770498258499,0.172504651906578,"dens"
"173",0.229567098516624,0.167767609177985,"dens"
"174",0.209952264296339,0.146324559131559,"dens"
"175",0.231312024045121,0.133378701237628,"dens"
"176",0.186651798887432,0.132781093507999,"dens"
"177",0.192235693101258,0.159680847201668,"dens"
"178",0.173978271788551,0.119925317996614,"dens"
"179",0.144961473838186,0.114011743501616,"dens"
"180",0.174290980021911,0.103749408542291,"dens"
"181",0.204002495281288,0.127007833478274,"dens"
"182",0.241253079722641,0.177296123132403,"dens"
"183",0.219722188628369,0.170362318092871,"dens"
"184",0.175754429443906,0.121379402310889,"dens"
"185",0.181975407049322,0.164397234458632,"dens"
"186",0.198453161176433,0.156099572279252,"dens"
"187",0.225084104229361,0.141162229439184,"dens"
"188",0.187665046991252,0.158623261819544,"dens"
"189",0.187278463592009,0.135199678732622,"dens"
"190",0.182908437320027,0.132635190291364,"dens"
"191",0.196071034829245,0.13094964820609,"dens"
