"site","transect","subQuadrat","ID","fireYear","size","sizeNext","fl","fs","fps","surv","sds","time","TSFcont","TSF","LS","stage","stageNext","abTot","abRepro","abLarge"
"SierraCarbonera",4,3,"CM4.3.8",2005,5.92425579741453,6.48616078894409,1,3,3,"1",NA,2011,6,">three","LG","LR","LR",9,6,4
"SierraCarbonera",4,3,"CM4.3.9",2005,4.35670882668959,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,9,6,4
"SierraCarbonera",4,6,"CM4.6.1",2005,5.59842195899838,5.17048399503815,1,2,4,"1",NA,2011,6,">three","LG","LR","SR",1,1,1
"SierraCarbonera",4,7,"CM4.7.1",2005,5.2040066870768,NA,1,2,2,"0",NA,2011,6,">three","LG","SR",NA,11,6,5
"SierraCarbonera",4,7,"CM4.7.2",2005,5.10594547390058,5.10594547390058,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",11,6,5
"SierraCarbonera",4,7,"CM4.7.3",2005,4.9416424226093,5.01063529409626,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",11,6,5
"SierraCarbonera",4,7,"CM4.7.4",2005,5.07517381523383,5.23110861685459,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",11,6,5
"SierraCarbonera",4,7,"CM4.7.5",2005,4.56434819146784,4.68213122712422,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",11,6,5
"SierraCarbonera",4,7,"CM4.7.6",2005,4.27666611901606,4.71849887129509,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",11,6,5
"SierraCarbonera",4,7,"CM4.7.7",2005,4.49980967033027,NA,1,1,2,"0",NA,2011,6,">three","LG","SR",NA,11,6,5
"SierraCarbonera",4,7,"CM4.7.8",2005,4.34380542185368,4.76217393479776,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",11,6,5
"SierraCarbonera",4,7,"CM4.7.9",2005,4.47733681447821,4.47733681447821,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",11,6,5
"SierraCarbonera",4,7,"CM4.7.10",2005,4.43081679884331,5.28826703069454,1,1,2,"1",NA,2011,6,">three","LG","SR","SR",11,6,5
"SierraCarbonera",4,7,"CM4.7.11",2005,4.24849524204936,NA,0,NA,NA,"0",NA,2011,6,">three","LG","J",NA,11,6,5
"SierraCarbonera",4,8,"CM4.8.1",2005,4.51085950651685,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,6,6,5
"SierraCarbonera",4,8,"CM4.8.2",2005,4.83628190695148,5.37527840768417,1,1,5,"1",NA,2011,6,">three","LG","SR","SR",6,6,5
"SierraCarbonera",4,8,"CM4.8.3",2005,4.58496747867057,4.51085950651685,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",6,6,5
"SierraCarbonera",4,8,"CM4.8.4",2005,5.73009978297357,NA,1,3,3,"0",NA,2011,6,">three","LG","LR",NA,6,6,5
"SierraCarbonera",4,8,"CM4.8.5",2005,4.969813299576,NA,0,NA,NA,"0",NA,2011,6,">three","LG","SR",NA,6,6,5
"SierraCarbonera",4,8,"CM4.8.6",2005,4.27666611901606,NA,1,1,3,"0",NA,2011,6,">three","LG","SR",NA,6,6,5
"SierraCarbonera",4,9,"CM4.9.1",2005,4.9416424226093,NA,1,1,4,"0",NA,2011,6,">three","LG","SR",NA,1,1,1
"SierraCarbonera",4,10,"CM4.10.1",2005,5.63478960316925,NA,1,2,2,"0",NA,2011,6,">three","LG","LR",NA,11,10,9
"SierraCarbonera",4,10,"CM4.10.2",2005,4.27666611901606,4.64439089914137,0,NA,NA,"1",NA,2011,6,">three","LG","J","SR",11,10,9
"SierraCarbonera",4,10,"CM4.10.3",2005,5.27299955856375,4.86753445045558,1,1,2,"1",NA,2011,6,">three","LG","SR","SR",11,10,9
"SierraCarbonera",4,10,"CM4.10.4",2005,2.19722457733622,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,11,10,9
"SierraCarbonera",4,10,"CM4.10.5",2005,5.41164605185504,5.39816270151775,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",11,10,9
"SierraCarbonera",4,10,"CM4.10.6",2005,6.26909628370626,5.8636311755981,1,2,2,"1",NA,2011,6,">three","LG","LR","LR",11,10,9
"SierraCarbonera",4,10,"CM4.10.7",2005,5.12396397940326,5.27811465923052,1,1,2,"1",NA,2011,6,">three","LG","SR","SR",11,10,9
"SierraCarbonera",4,10,"CM4.10.8",2005,4.969813299576,NA,1,1,1,"0",NA,2011,6,">three","LG","SR",NA,11,10,9
"SierraCarbonera",4,10,"CM4.10.9",2005,4.59511985013459,5.13579843705026,1,1,3,"1",NA,2011,6,">three","LG","SR","SR",11,10,9
"SierraCarbonera",4,10,"CM4.10.10",2005,4.51085950651685,4.9416424226093,1,1,1,"1",NA,2011,6,">three","LG","SR","SR",11,10,9
"SierraCarbonera",4,10,"CM4.10.11",2005,6.12249280951439,6.29156913955832,1,3,3,"1",NA,2011,6,">three","LG","LR","LR",11,10,9
"Retin",1,3,"RO1.3.1",1996,4.39444915467244,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,2,0,1
"Retin",1,3,"RO1.3.2",1996,5.12989871492307,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,2,0,1
"Retin",1,4,"RO1.4.1",1996,4.47733681447821,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,1,0,0
"Retin",1,6,"RO1.6.1",1996,4.70048036579242,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,6,"RO1.6.2",1996,5.04985600724954,5.5834963087817,1,1,2,"1",NA,2011,15,">three","HG","SR","LR",40,2,9
"Retin",1,6,"RO1.6.3",1996,4.86753445045558,NA,0,NA,NA,"0",NA,2011,15,">three","HG","J",NA,40,2,9
"Retin",1,6,"RO1.6.4",1996,3.2188758248682,NA,0,NA,NA,"0",3.2188758248682,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.5",1996,3.40119738166216,NA,0,NA,NA,"0",3.40119738166216,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.6",1996,3.40119738166216,NA,0,NA,NA,"0",3.40119738166216,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.7",1996,2.99573227355399,NA,0,NA,NA,"0",2.99573227355399,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.8",1996,3.2188758248682,NA,0,NA,NA,"0",3.2188758248682,2011,15,">three","HG","SD",NA,40,2,9
"Retin",1,6,"RO1.6.9",1996,3.40119738166216,NA,0,NA,NA,"0",3.40119738166216,2011,15,">three","HG","SD",NA,40,2,9
