"study.doi","year.of.publication","group","species","continent","driver","driver.type","stage.age","vital.rates","sens","cov","gen.time","n.vr","n.pam","dens","biotic_interactions"
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000753756163263197,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000633126571625807,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000292028406467237,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00111258349079376,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000481124402971312,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000917904011707391,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",6.86393079631973e-05,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000504347971640387,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000443224027418796,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000708205937072553,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000674166940082114,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00129873178369187,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000948729765756204,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000221720232480003,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000810955314951605,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000521648062961312,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000307745427872813,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000599117498686088,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000754061372677488,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000316795799813132,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000958503528486182,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000399392178470425,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000608437503196223,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000747313077582058,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00040046187317007,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00012098635150482,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000745397098692865,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000418286689132565,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000774210677809951,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000715954343385017,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000873548784193569,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00051221999695469,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000615911508811831,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000443324763314928,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",5.50651190978044e-05,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00062955797609047,0,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000622082500017438,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.0011010721971486,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00140091754771082,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000895324716806982,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000435035951532381,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000345046832453972,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000495590166957962,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.00127035810586608,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000742461932367981,1,9.8,10,47,0,0
"110.1111/1365-2656.12827",2018,"Birds","Thalassarche melanophris","Sub-Antarctic","SST1","C","all","all",0.000542379557208618,1,9.8,10,47,0,0
